tag,count
provides,11
providing,31
psych,12
psychedelia,12
psychedelic,543
pulsating,27
pulse,409
pulses,79
pulsing,182
punch,19
punchy,551
punk,126
pure,80
pushed,12
qanun,10
quarter,11
quartet,19
quiet,129
quieter,10
quietly,25
quirky,15
radio,239
ragtime,17
rain,782
rainfall,25
rainy,45
random,10
range,123
rap,659
rapid,35
rapper,20
rasp,48
raspy,55
rate,17
rather,15
ratio,18
rave,86
raw,622
rawness,15
razor,10
read,18
ready,194
real,18
rebellious,11
recitative,12
recorded,138
recording,132
recordings,62
red,11
reel,13
reference,12
references,13
reflecting,10
reflection,37
reflections,13
reflective,96
refs,10
reggaeton,33
register,53
regret,17
relaxation,18
relaxed,42
relaxing,21
release,37
releases,12
relentless,18
remain,15
remains,17
repeat,85
repeated,28
repeating,46
repeats,14
repetition,69
repetitive,93
resilience,13
resolution,31
resonance,98
resonant,79
response,37
restrained,24
restraint,39
retro,383
return,33
returns,17
reverb,1918
reverbed,20
reverbs,32
reverse,110
reversed,100
revolution,14
rhodes,104
rhyme,12
rhymes,24
rhythm,587
rhythmic,420
rhythms,110
rich,61
ride,82
riff,94
riffs,217
right,54
ripple,10
rise,21
riser,10
risers,35
rises,11
rising,130
ritual,138
ritualistic,129
road,19
robotic,39
rock,755
roland,64
roll,25
rolled,15
rolling,126
rolls,91
romance,56
romantic,115
romanticism,11
roof,16
rooftop,43
room,212
root,39
rotary,10
rough,27
round,12
rounded,17
rubato,12
rules,181
rumble,48
rumbles,36
runs,19
russian,1414
russians,28
rustle,55
sacred,43
sad,16
sadness,11
safe,21
same,23
sample,56
samples,329
sand,12
sarcastic,12
satellite,15
saturated,155
saturation,463
sax,82
saxophone,308
scale,12
scales,10
scat,18
schemes,10
school,18
schumann,12
scratches,22
scream,24
screamed,18
screaming,34
screen,29
seamless,13
searching,10
sec,139
second,38
secondary,10
seconds,62
secret,16
secrets,29
seduction,57
seen,13
semitones,30
sense,56
sensual,120
sensuality,125
sequence,13
sequenced,26
sequences,10
serene,32
session,37
set,27
sfx,83
shadow,31
shadows,10
shaker,22
shakers,11
shakuhachi,25
sharp,179
shift,39
shifted,68
shifting,59
shifts,145
shimmer,81
shimmering,204
shoegaze,80
short,163
shots,10
should,134
shouted,21
shouting,14
shouts,13
show,12
shuffle,15
sidechain,113
sidechained,72
sighs,18
signal,21
signature,49
silence,208
silences,13
silent,17
silicon,22
silk,97
silky,33
similar,17
simple,127
sincere,18
sine,34
sing,16
singalong,32
singer,160
singing,238
single,128
sings,11
siren,13
sirens,23
sistrum,13
sitar,57
skrrt,14
sky,12
slam,17
slap,27
sleek,59
slide,24
slides,82
sliding,17
slight,153
slightly,250
slipping,29
sloppy,18
slow,638
slowed,20
slowly,38
slows,13
sludgy,14
slurred,14
small,27
smoke,34
smoky,203
smooth,340
snappy,27
snaps,10
snare,600
snares,128
snippets,11
snow,62
snowfall,14
soaked,163
soar,45
soaring,116
social,17
soft,556
softly,11
solitude,83
solo,222
solos,80
someone,20
songwriter,14
sonic,36
sophisticated,16
soprano,53
soul,268
soulful,86
soundscape,210
soundscapes,102
soundtrack,53
soviet,230
space,226
spacey,98
spacious,77
spanish,192
sparingly,13
sparkle,45
sparkling,21
sparse,263
spatial,69
spatially,13
speaker,37
speaking,24
speaks,15
special,15
speed,13
spiral,32
spiritual,68
spoken,413
spray,19
spring,59
stabs,128
staccato,75
stack,21
stadium,62
starlit,13
start,81
starts,10
startups,16
state,11
static,128
stay,13
stays,10
steady,146
steel,44
stereo,224
stick,11
stillness,24
stimulation,10
stolen,23
stop,144
stops,28
stories,20
storm,26
story,20
storytelling,88
strain,14
strained,38
stratocaster,14
street,47
streets,25
streetwise,10
stretched,19
strictly,71
strike,27
string,120
strings,452
stripped,30
strong,78
strumming,24
strums,23
studio,71
study,11
stutter,15
stutters,17
sub,1030
subby,12
submerged,11
subs,196
subtle,664
subtly,25
suburban,12
subway,22
sudden,73
suede,10
sultry,47
summer,114
sun,19
sung,214
sunlight,10
sunlit,11
sunny,41
sunrise,42
sunset,97
supersaw,58
supersaws,27
support,17
supporting,13
supports,14
suppress,13
surf,143
surface,43
surreal,175
surrender,11
surround,11
suspended,17
suspense,12
suspenseful,13
sustain,39
sustained,43
swagger,12
swedish,10
sweep,34
sweeping,14
sweeps,50
sweet,16
swell,49
swelling,21
swells,161
swing,178
swinging,14
swings,14
swipe,11
swirl,16
swirling,23
swung,21
syllable,10
synced,10
synchronized,10
syncopated,108
synth,870
synth-pop,143
synthesis,37
synthesizer,25
synthesizers,38
synthetic,24
synthpop,46
synths,1756
synthwave,70
systems,19
tabla,21
tactile,22
tail,29
tails,59
take,14
talk,18
tambourine,19
tang,11
tap,16
tape,996
tear,12
tears,32
tech,1238
tech-house,548
technical,30
technique,22
techniques,26
techno,226
telephone,16
temple,17
tender,61
tenor,65
tense,48
tension,162
test,12
textile,41
textural,48
textured,43
theatrical,21
them,22
thematic,10
theme,212
themes,236
theremin,11
these,12
theta,10
they,21
thick,43
think,34
third,57
thirds,40
thoughtful,12
throat,13
through,184
throughout,128
thumping,35
thunder,39
thunderous,39
tibetan,33
tide,11
tight,199
tiktok,52
timbre,26
time,217
timeless,37
timing,32
timpani,11
tin,13
tired,13
title,13
together,22
tom,13
toms,20
tone,213
tones,106
top,13
torn,19
touch,77
touches,14
tr,386
tracked,36
traditional,99
traffic,29
train,17
trains,15
tram,20
trance,368
trancey,226
transcendent,10
transformed,23
transient,27
transition,26
transitions,228
transmission,26
trap,1502
trap-soul,14
tremolo,50
tremor,11
tribal,56
trigger,24
trip,586
triphop,29
triple,27
triplet,47
triplets,37
trippy,24
tropical,49
trouble,93
trumpet,71
truth,13
tube,89
tune,33
tuned,40
tunes,10
tuning,21
twice,10
twist,56
two,42
ultra,175
ultrasonic,14
under,136
underground,219
underneath,33
undertones,50
underwater,12
unexpected,12
unfold,19
unison,17
universal,19
unobtrusive,30
unpolished,33
unpredictable,22
unprofessional,14
unreleased,13
unresolved,13
upbeat,157
upfront,16
uplifting,103
upright,139
ups,25
uptempo,22
urban,582
urgent,12
utterly,14
vaporwave,10
variation,14
variations,20
vast,48
vault,16
vedic,11
velvet,298
vhs,14
vibrant,28
vibraphone,13
vibrates,19
vibrato,135
video,14
vintage,383
vinyl,1116
viola,13
violin,68
violins,10
vip,622
viral,59
virtuosic,10
visceral,10
vocalizations,17
vocoder,29
voice,417
voiceless,10
voices,69
void,26
volume,50
vox,18
vulnerability,26
vulnerable,52
wah,213
waiting,12
walking,57
wall,23
walls,17
waltz,41
war,17
warehouse,15
warm,624
warmth,470
warp,10
warped,23
wash,12
washed,17
washes,16
watching,14
water,67
wave,166
waves,69
weight,59
weighted,21
west,47
western,34
wet,88
where,50
while,60
whiskey,36
whisper,455
whispered,634
whispering,49
whispers,329
whispery,32
white,38
wide,195
wider,10
width,25
wind,118
window,33
winter,73
wire,17
within,19
wobble,62
wobbles,44
woman,31
wood,30
wooden,25
woolly,14
word,251
wordless,32
words,74
work,11
world,56
worn,16
wow,202
written,15
yamaha,25
years,19
yet,269
york,18
youthful,11
zabumba,10
zero,36
